cluster,Curva,Inclinacao,Obra_Arte,Reta,variavel,Rural,Urbana,Adverso,Normal,Dia,Noite,Transicao,Fatal,Grave,Leve,Sem_Lesoes
0,50.0,16.666666666666664,0.0,33.33333333333333,tracado_simplificado,,,,,,,,,,,
1,0.0,0.0,0.0,100.0,tracado_simplificado,,,,,,,,,,,
2,0.0,100.0,0.0,0.0,tracado_simplificado,,,,,,,,,,,
3,64.0,20.0,0.0,16.0,tracado_simplificado,,,,,,,,,,,
4,15.0,65.0,0.0,20.0,tracado_simplificado,,,,,,,,,,,
5,0.0,4.651162790697675,0.0,95.34883720930233,tracado_simplificado,,,,,,,,,,,
6,100.0,0.0,0.0,0.0,tracado_simplificado,,,,,,,,,,,
7,0.0,60.0,15.0,25.0,tracado_simplificado,,,,,,,,,,,
8,2.857142857142857,48.57142857142857,0.0,48.57142857142857,tracado_simplificado,,,,,,,,,,,
9,41.66666666666667,0.0,0.0,58.333333333333336,tracado_simplificado,,,,,,,,,,,
0,,,,,area_tipo,58.333333333333336,41.66666666666667,,,,,,,,,
1,,,,,area_tipo,41.86046511627907,58.139534883720934,,,,,,,,,
2,,,,,area_tipo,77.77777777777779,22.22222222222222,,,,,,,,,
3,,,,,area_tipo,92.0,8.0,,,,,,,,,
4,,,,,area_tipo,90.0,10.0,,,,,,,,,
5,,,,,area_tipo,16.27906976744186,83.72093023255815,,,,,,,,,
6,,,,,area_tipo,100.0,0.0,,,,,,,,,
7,,,,,area_tipo,10.0,90.0,,,,,,,,,
8,,,,,area_tipo,45.714285714285715,54.285714285714285,,,,,,,,,
9,,,,,area_tipo,16.666666666666664,83.33333333333334,,,,,,,,,
0,,,,,clima_adverso,,,100.0,0.0,,,,,,,
1,,,,,clima_adverso,,,4.651162790697675,95.34883720930233,,,,,,,
2,,,,,clima_adverso,,,100.0,0.0,,,,,,,
3,,,,,clima_adverso,,,20.0,80.0,,,,,,,
4,,,,,clima_adverso,,,25.0,75.0,,,,,,,
5,,,,,clima_adverso,,,0.0,100.0,,,,,,,
6,,,,,clima_adverso,,,50.0,50.0,,,,,,,
7,,,,,clima_adverso,,,95.0,5.0,,,,,,,
8,,,,,clima_adverso,,,48.57142857142857,51.42857142857142,,,,,,,
9,,,,,clima_adverso,,,0.0,100.0,,,,,,,
0,,,,,periodo_dia,,,,,83.33333333333334,0.0,16.666666666666664,,,,
1,,,,,periodo_dia,,,,,18.6046511627907,81.3953488372093,0.0,,,,
2,,,,,periodo_dia,,,,,44.44444444444444,55.55555555555556,0.0,,,,
3,,,,,periodo_dia,,,,,36.0,24.0,40.0,,,,
4,,,,,periodo_dia,,,,,5.0,95.0,0.0,,,,
5,,,,,periodo_dia,,,,,95.34883720930233,4.651162790697675,0.0,,,,
6,,,,,periodo_dia,,,,,0.0,0.0,100.0,,,,
7,,,,,periodo_dia,,,,,85.0,15.0,0.0,,,,
8,,,,,periodo_dia,,,,,57.14285714285714,42.857142857142854,0.0,,,,
9,,,,,periodo_dia,,,,,41.66666666666667,0.0,58.333333333333336,,,,
0,,,,,gravidade_cat,,,,,,,,0.0,0.0,50.0,50.0
1,,,,,gravidade_cat,,,,,,,,4.651162790697675,48.837209302325576,46.51162790697674,0.0
2,,,,,gravidade_cat,,,,,,,,11.11111111111111,0.0,88.88888888888889,0.0
3,,,,,gravidade_cat,,,,,,,,20.0,12.0,64.0,4.0
4,,,,,gravidade_cat,,,,,,,,70.0,10.0,20.0,0.0
5,,,,,gravidade_cat,,,,,,,,0.0,20.930232558139537,55.81395348837209,23.25581395348837
6,,,,,gravidade_cat,,,,,,,,0.0,0.0,62.5,37.5
7,,,,,gravidade_cat,,,,,,,,0.0,0.0,30.0,70.0
8,,,,,gravidade_cat,,,,,,,,0.0,8.571428571428571,77.14285714285715,14.285714285714285
9,,,,,gravidade_cat,,,,,,,,0.0,41.66666666666667,50.0,8.333333333333332
