,total_vitimas,total_vitimas,total_vitimas,n_mortos,n_mortos,n_feridos_graves,n_feridos_graves,n_feridos_leves,n_feridos_leves,indice_gravidade,indice_gravidade
,count,mean,std,sum,mean,sum,mean,sum,mean,mean,std
cluster,,,,,,,,,,,
0,12,17.67,18.45,0.0,0.0,0,0.0,92,7.67,7.67,11.29
1,43,10.4,7.96,10.0,0.23,118,2.74,152,3.53,10.33,10.07
2,18,15.22,17.54,23.0,1.28,10,0.56,126,7.0,13.22,22.99
3,25,19.92,23.61,58.75,2.35,47,1.88,137,5.48,17.92,29.46
4,20,30.89,31.28,168.5,8.43,26,1.3,138,6.9,43.9,38.65
5,43,9.7,11.28,0.0,0.0,38,0.88,143,3.33,5.09,7.36
6,8,4.12,3.6,0.0,0.0,0,0.0,16,2.0,2.0,2.2
7,20,21.19,33.82,0.0,0.0,0,0.0,43,2.15,2.15,3.98
8,35,16.45,21.66,0.0,0.0,30,0.86,204,5.83,8.0,13.42
9,12,13.25,21.41,0.0,0.0,33,2.75,36,3.0,8.5,13.08
